param_name,option_op1,num_cases_op1,num_numeric_pairs_op1,mean_abs_delta_op1,type_change_rate_op1,sign_change_rate_op1,zero_to_nonzero_rate_op1,nonzero_to_zero_rate_op1,large_jump_rate_op1,option_op2,num_cases_op2,num_numeric_pairs_op2,mean_abs_delta_op2,type_change_rate_op2,sign_change_rate_op2,zero_to_nonzero_rate_op2,nonzero_to_zero_rate_op2,large_jump_rate_op2
prach_RootSequenceIndex,op1,2,2,1.0,0.0,0.5,0.0,0.5,0.0,op2,3,3,326.3333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
prach_RootSequenceIndex_PR,op1,2,2,1.5,0.0,0.5,0.0,0.5,0.0,op2,2,2,1.0,0.0,0.0,0.0,0.0,0.0
prach_dtx_threshold,op1,3,3,80.66666666666667,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,op2,1,1,121.0,0.0,1.0,0.0,0.0,1.0
prach_msg1_FDM,op1,2,2,1.0,0.0,1.0,1.0,0.0,0.0,op2,2,2,4.0,0.0,1.0,1.0,0.0,0.0
preambleReceivedTargetPower,op1,2,2,48.5,0.0,0.5,0.0,0.5,0.5,op2,2,2,105.5,0.0,0.0,0.0,0.0,1.0
preambleTransMax,op1,2,2,3.5,0.0,0.5,0.0,0.5,0.0,op2,4,4,5.75,0.0,0.5,0.0,0.25,0.0
pucch0_dtx_threshold,op1,2,2,75.5,0.0,0.5,0.0,0.5,0.5,op2,1,1,150.0,0.0,1.0,0.0,1.0,1.0
pucchGroupHopping,op1,2,2,1.0,0.0,1.0,1.0,0.0,0.0,op2,2,2,3.0,0.0,1.0,1.0,0.0,0.0
ra_ContentionResolutionTimer,op1,2,2,4.0,0.0,0.5,0.0,0.5,0.0,op2,2,2,1.0,0.0,0.0,0.0,0.0,0.0
ra_ResponseWindow,op1,2,2,2.5,0.0,0.5,0.0,0.5,0.0,op2,3,3,65.0,0.0,0.0,0.0,0.0,0.6666666666666666
referenceSubcarrierSpacing,op1,2,2,1.0,0.0,0.5,0.0,0.5,0.0,op2,3,3,1.6666666666666667,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
remote_n_address,op1,2,0,,0.0,0.0,0.0,0.0,0.0,op2,1,0,,1.0,0.0,0.0,0.0,0.0
remote_n_portc,op1,2,2,251.0,0.0,0.5,0.0,0.5,0.5,op2,1,1,501.0,0.0,1.0,0.0,1.0,1.0
remote_n_portd,op1,2,2,1076.5,0.0,0.5,0.0,0.5,0.5,op2,1,1,63384.0,0.0,0.0,0.0,0.0,1.0
restrictedSetConfig,op1,2,2,1.0,0.0,1.0,1.0,0.0,0.0,op2,2,2,3.0,0.0,1.0,1.0,0.0,0.0
rsrp_ThresholdSSB,op1,2,2,10.0,0.0,0.5,0.0,0.5,0.5,op2,2,2,109.0,0.0,0.0,0.0,0.0,1.0
ru_addr,op1,2,0,,0.0,0.0,0.0,0.0,0.0,op2,2,0,,0.0,0.0,0.0,0.0,0.0
ru_thread_core,op1,3,3,4.333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,op2,2,1,7.0,0.5,0.5,0.0,0.0,0.0
serveraddr,op1,2,0,,0.0,0.0,0.0,0.0,0.0,op2,2,0,,0.0,0.0,0.0,0.0,0.0
serverport,op1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,op2,1,1,65957.0,0.0,0.0,0.0,0.0,1.0
sl_ahead,op1,2,2,3.0,0.0,0.5,0.0,0.5,0.0,op2,1,1,15.0,0.0,1.0,0.0,0.0,1.0
ssPBCH_BlockPower,op1,2,2,13.0,0.0,0.5,0.0,0.5,0.5,op2,2,2,125.5,0.0,0.5,0.0,0.0,1.0
ssb_PositionsInBurst_Bitmap,op1,2,2,1.0,0.0,0.5,0.0,0.5,0.0,op2,2,2,1.0,0.0,1.0,0.0,1.0,0.0
ssb_perRACH_OccasionAndCB_PreamblesPerSSB,op1,2,2,8.0,0.0,0.5,0.0,0.5,0.5,op2,2,2,50.0,0.0,0.0,0.0,0.0,1.0
ssb_perRACH_OccasionAndCB_PreamblesPerSSB_PR,op1,2,2,2.5,0.0,0.5,0.0,0.5,0.0,op2,2,2,5.0,0.0,0.0,0.0,0.0,0.0
ssb_periodicityServingCell,op1,2,2,1.5,0.0,0.5,0.0,0.5,0.0,op2,2,2,6.0,0.0,0.0,0.0,0.0,0.0
subcarrierSpacing,op1,2,2,1.0,0.0,0.5,0.0,0.5,0.0,op2,3,3,1.6666666666666667,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
tr_n_preference,op1,4,0,,0.0,0.0,0.0,0.0,0.0,op2,4,0,,0.0,0.0,0.0,0.0,0.0
tr_s_preference,op1,3,0,,0.0,0.0,0.0,0.0,0.0,op2,2,0,,0.0,0.0,0.0,0.0,0.0
ul_carrierBandwidth,op1,1,1,106.0,0.0,1.0,0.0,1.0,1.0,op2,3,3,89.33333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0
ul_frequencyBand,op1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,op2,2,2,1.0,0.0,0.0,0.0,0.0,0.0
ul_subcarrierSpacing,op1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,op2,2,2,2.0,0.0,0.5,0.0,0.5,0.0
zeroCorrelationZoneConfig,op1,2,2,7.0,0.0,0.5,0.0,0.5,0.5,op2,3,3,6.333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
